date,fishing
2012-03-29,0
2012-03-30,0
2012-04-03,0
2012-04-08,0
2012-04-09,0
2012-04-27,0
2012-05-08,0
2013-03-24,0
2013-03-25,0
2013-03-26,0
2013-03-28,0
2013-03-29,0
2013-03-30,0
2013-04-01,0
2013-04-02,0
2013-04-03,0
2013-04-04,0
2013-04-05,0
2013-04-12,0
2013-04-13,0
2013-04-14,0
2013-04-18,0
2013-04-19,1
2013-04-24,0
2013-04-25,0
2013-04-26,0
2013-05-04,0
2013-05-05,0
2013-08-14,0
2013-08-15,0
2013-08-16,0
2013-08-17,0
2013-08-18,0
2013-08-19,0
2013-08-20,0
2013-08-21,0
2013-08-22,0
2013-08-23,0
2013-08-24,0
2013-08-25,0
2013-08-27,0
2013-08-31,0
2013-09-01,0
2013-09-05,0
2013-09-07,0
2013-09-08,0
2013-09-09,0
2013-09-10,0
2013-09-11,0
2013-09-12,0
2013-09-13,0
2013-09-14,0
2013-09-15,0
2013-09-16,0
2013-09-17,0
2013-09-19,0
2013-09-20,0
2013-09-21,0
2013-09-22,0
2013-09-23,0
2013-09-24,0
2013-09-25,0
2013-09-26,0
2013-09-27,0
2013-09-28,0
2013-09-29,4
2013-09-30,0
2013-10-01,0
2013-10-02,0
2013-10-03,25
2013-10-04,21
2013-10-05,26
2013-10-06,21
2013-10-07,32
2013-10-08,22
2013-10-09,11
2013-10-11,11
2013-10-12,30
2013-10-13,11
2013-10-14,0
2013-10-15,0
2013-10-16,0
2013-10-17,0
2013-10-18,0
2013-10-19,0
2013-10-20,0
2013-10-21,0
2013-10-22,0
2013-10-23,0
2013-10-24,0
2013-10-25,0
2013-10-26,0
2013-10-27,0
2013-10-28,0
2013-10-29,0
2013-10-30,0
2013-10-31,26
2013-11-01,20
2013-11-02,25
2013-11-03,25
2013-11-04,23
2013-11-05,11
2013-11-06,0
2013-11-07,0
2013-11-08,0
2013-11-09,0
2013-11-10,6
2013-11-11,0
2013-11-12,0
2013-11-13,26
2013-11-14,15
2013-11-15,0
2013-11-16,0
2013-11-17,16
2013-11-18,0
2013-11-19,0
2013-11-20,18
2013-11-21,14
2013-11-22,0
2013-11-23,11
2013-11-24,20
2013-11-25,22
2013-11-26,6
2013-11-27,9
2013-11-28,24
2013-11-29,21
2013-11-30,24
2013-12-01,22
2013-12-02,20
2013-12-04,21
2013-12-05,23
2013-12-06,22
2013-12-07,24
2013-12-08,20
2013-12-09,16
2013-12-12,14
2013-12-14,24
2013-12-15,23
2013-12-16,15
2013-12-17,29
2013-12-18,19
2013-12-19,4
2013-12-20,14
2013-12-21,34
2013-12-22,16
2013-12-23,22
2013-12-24,24
2013-12-25,32
2013-12-26,12
2013-12-27,19
2013-12-28,14
2013-12-29,25
2013-12-30,4
2013-12-31,4
2014-01-01,23
2014-01-02,21
2014-01-03,21
2014-01-04,30
2014-01-05,10
2014-01-06,5
2014-01-07,25
2014-01-08,23
2014-01-09,24
2014-01-10,30
2014-01-11,16
2014-01-12,24
2014-01-13,23
2014-01-14,16
2014-01-15,16
2014-01-16,0
2014-01-17,24
2014-01-18,24
2014-01-19,23
2014-01-20,24
2014-01-21,5
2014-01-22,8
2014-01-23,25
2014-01-24,22
2014-01-25,25
2014-01-26,18
2014-01-27,23
2014-01-28,3
2014-01-29,1
2014-01-30,0
2014-01-31,0
2014-02-01,0
2014-02-04,0
